MQ2 to MQ9 - Calibracion
Note - Make sure you are in a clean room and the sensor has pre-heated almost 4 hours
Note - All values are in KOhms
Autonumeric, MQ2(R0), MQ3(R0), MQ4(R0), MQ5(R0), MQ6(R0), MQ7(R0), MQ8(R0), MQ9(R0), v2(VDC), v3(VDC), v4(VDC), v5(VDC), v6(VDC), v7(VDC), v8(VDC), v9(VDC)
200,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
201,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
202,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
203,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
204,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
205,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
206,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
207,10.00,4.00,48.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
208,10.00,4.00,49.00,71.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
209,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
210,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
211,10.00,4.00,48.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
212,10.00,4.00,49.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
213,10.00,4.00,49.00,72.00,13.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
214,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
215,10.00,4.00,48.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
216,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
217,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.47
218,10.00,4.00,49.00,72.00,13.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
219,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
220,10.00,4.00,49.00,72.00,13.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
221,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
222,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
223,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
224,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.47
225,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
226,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
227,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
228,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
229,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
230,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
231,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
232,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
233,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
234,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
235,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
236,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
237,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
238,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
239,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
240,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
241,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
242,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
243,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
244,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
245,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
246,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
247,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
248,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
249,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
250,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
251,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
252,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
253,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
254,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
255,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
256,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
257,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
258,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
259,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
260,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
261,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
262,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
263,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
264,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
265,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.51,0.46
266,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
267,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
268,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
269,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
270,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
271,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
272,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
273,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
274,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
275,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
276,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
277,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
278,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
279,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
280,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
281,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
282,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
283,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
284,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
285,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
286,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
287,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
288,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
289,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
290,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
291,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
292,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
293,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
294,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
295,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
296,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
297,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
298,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.52,0.46
299,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
300,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.45,0.19,0.22,0.10,0.33,0.37,0.51,0.46
301,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
302,10.00,4.00,49.00,72.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
303,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
304,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
305,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
306,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
307,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
308,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
309,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
310,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
311,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
312,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
313,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
314,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
315,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.52,0.46
316,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
317,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
318,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
319,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
320,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
321,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
322,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
323,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
324,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
325,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
326,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
327,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
328,10.00,4.00,49.00,73.00,14.00,4.00,1.00,10.00,0.44,0.19,0.22,0.10,0.33,0.37,0.51,0.46
